index Bandwidth Hm Br Hc
0 1.28 104.3807 8.3956 91.1354
1 1.56 105.1939 8.9021 95.212
2 1.8 108.5581 8.9587 95.4309
3 0.16 106.4245 8.9247 92.6675
4 1.84 104.9634 9.318 100.7661
5 1.88 105.3461 9.4199 104.3502
6 2.0 105.5918 9.3067 97.5923
7 2.28 104.0685 9.3067 99.015
8 3.4 101.8861 9.1822 98.6046
9 0.4 147.6271 5.9734 62.1067
10 0.0 146.1579 5.8376 60.8755
11 0.92 144.8268 6.3441 70.3146
12 0.28 145.7972 6.1205 66.7305
13 0.16 143.7866 6.3667 69.6033
14 0.08 145.5103 6.3328 74.0082
15 0.52 146.2263 5.9847 63.8577
16 0.4 145.8515 6.3554 72.1751
17 1.72 140.8859 6.4346 73.4883
18 1.0 187.3217 3.1352 35.2668
19 0.4 188.0033 3.0334 33.0232
20 0.0 185.8617 3.1918 35.4583
21 0.0 186.5761 3.2484 33.844
22 0.0 177.9176 3.4295 41.4227
23 0.68 185.3982 3.2145 37.0178
24 0.2 184.4606 3.2598 37.0178
25 0.24 178.9894 3.4295 40.9029
26 2.6 182.3967 3.4295 42.0246
27 4.64 176.0792 4.4482 43.8668
28 5.76 176.6755 4.2855 45.269
29 1.32 171.523 4.3562 43.4906
30 3.48 168.8928 4.4977 45.1436
31 0.4 185.3565 2.882 34.1427
32 0.0 184.2331 3.1423 34.6557
33 1.24 178.2477 3.2201 40.7547
34 3.6 177.3556 3.4522 41.1423
35 0.6 180.6386 2.9924 36.2403
36 0.32 176.5418 3.5512 39.2955
37 3.36 175.5435 3.8993 43.616
38 3.08 169.245 4.4595 48.3128
39 0.12 181.3874 3.1734 36.8787
40 2.2 175.7097 3.7408 37.2663
41 5.16 176.6165 3.363 38.8509
42 1.72 172.7 3.82 43.7414
